Drer Drer Drer Drer Olat Olat Olat Olat Eluc Eluc Eluc Eluc Ssal Ssal Ssal Ssal Salp Salp Salp Salp Omyk Omyk Omyk Okis Okis Okis Okis
OG0000052_3 5.53188134845237 4.88545665874336 5.34248575618001 3.77417795360553 6.84333111830163 6.77706087601835 6.67370930156679 6.52686021261108 3.57544762898569 4.16240180138324 4.2543693712335 6.20109452706213 4.33684043053025 4.56495766333556 5.10653685373164 4.33596852833625 3.99487773671961 3.50811749559901 3.4025545952703 3.7375463246926 4.73204777496321 4.4404048833483 4.17155297440926 5.03889481979956 4.65503859398713 4.847312370507 4.75335898683385
OG0000053_2 0.531741617748075 0.50703382514093 4.86889999205066 4.26407094671255 1.0996839777566 0.506837979670423 1.73724516975388 1.27079344887011 2.41999585413654 2.49072811746905 2.1293593278176 1.18165308912916 2.97185744956205 2.54687863781874 3.18077337000614 2.88774624076544 1.20026546787033 2.46468615002956 1.73825258549497 1.85885120841351 1.05710186999924 1.79319526319726 1.89572999913467 0.988597023083609 0.964427707777029 1.41429138011727 0.190940163890445
OG0000081_1 2.96919682777432 3.01759371345814 4.109287108497 3.81904641319468 3.18155932729095 3.85090355780603 4.02986956656454 3.62496922703426 3.06102072588822 2.81617003458573 3.12245039675961 3.25858129675 3.86966134512533 3.89149630249492 3.87006584672823 3.49402217072031 4.107602816389 4.18366274538036 4.06627876692318 3.91089909648989 3.18824983033048 3.01434702892446 3.22569266385871 3.82191310190117 3.97401723627544 3.93098695964491 3.88057488058264
OG0000082_1 1.77171523959342 1.67520010895442 2.37171469141055 2.88199670498703 2.6825868034091 2.73123439824883 2.52596509103059 2.63189573902507 2.35264134496395 3.50505129735225 2.8169781906545 4.85610153674258 0.858847051345826 1.54042441628853 1.38917054293564 1.58889396524027 1.94862036278032 1.33031547697302 1.71841308549984 2.29098652789722 1.68480794749828 1.56016708690112 1.49672857496275 2.21636243504036 2.01455858311983 2.34530887184472 2.45227100233521
OG0000129_1 4.14480439273061 4.83154444512813 3.59877170513729 1.7389365273128 3.59102329389037 3.33855949510035 3.19947391637627 4.14053846670838 3.64499294484623 3.86178325883102 3.57446584014648 6.11940782067476 2.36346445854625 3.82570842855822 3.30567732795167 4.36547711948392 2.65272664221879 1.86298546836245 2.3450641881477 2.71253330749499 2.55553447646109 2.80895934664073 2.46946780885572 3.35993441489869 2.64826631446963 2.89052549190772 3.32843034020205
OG0000139_1 2.81235237197892 2.10842792935987 3.74183333081503 4.80074860755409 2.10360186376489 2.16099028416546 1.70920674834213 3.41395355998653 2.58962129423118 3.59113427444689 2.44800234897129 3.9917615264937 2.62882023295334 2.45175475332157 2.50484056372154 2.72233938069203 2.20641028750294 1.64551803714513 2.10641876161348 2.36182813915607 2.02071305036119 2.34041716159615 2.8077244081357 1.92342397347104 2.02693835659696 1.97233349684027 1.97228919947432
OG0000162_1 8.62415229405648 8.97872340137296 9.22411748035732 7.11508397886879 8.65203380641857 7.43800642506467 7.93343831374036 7.52549381640829 6.34566696822253 6.83004587953369 6.47869957721958 7.82457482981118 7.35180691514898 7.45603321689933 6.88733464587462 7.27830807175676 6.11624354476421 5.74219881380177 5.39975253425898 6.17587276862674 5.68614540772396 5.05681744203851 5.48762865652851 4.93446010273683 4.9898547808382 5.15804561458916 5.63366164864667
OG0000178_1 5.01920692286007 2.61332897483031 4.12851951350936 4.35320668868307 5.21484522263071 6.02577706429351 4.14003754983109 4.87717682756392 3.12058979494828 4.39079293319884 2.96682151849175 3.72234079337005 1.98244311917652 1.88856326377556 2.27230879413132 2.27894350388905 2.61486526139302 2.68186939985367 2.6384181999622 2.62801244168169 2.32330311312885 2.6661337192566 2.3446265717729 1.41843167946007 1.63245124949875 1.97907368267347 2.08695875421219
OG0000178_2 6.04759697130595 4.92522152883086 5.12105872120391 5.85501084288928 4.43444790363021 4.48920498117039 4.16708667937848 3.93700662053857 4.25989409620457 4.1595869863035 4.47312874699843 4.0067025189791 3.53257585959893 3.72300754084814 3.84283982027225 3.59187774256336 2.74005452639914 2.48980488188607 2.51076546668228 2.78944129794458 3.44689631266527 3.24888630487032 2.94844109734212 2.80882262996754 2.77660767900126 2.51027269017323 2.7984058510389
OG0000193_2 14.4202684103355 14.8869131660165 8.88150337215782 5.41603966954807 12.8711008848986 13.3353866587442 13.2817106076436 11.8287662067611 11.3279741074812 11.5559724407285 11.6792494171448 11.6636926413384 10.4269081205222 10.2964531808608 10.1784052306181 10.614463254782 10.7349842988592 10.6299756666742 10.3571593779046 11.131800175224 11.0198090135654 9.99306992160668 9.96542402023733 12.4146315537733 12.4541781506134 11.7327843741427 11.6192856105728
